Date,Open_SNDK,High_SNDK,Low_SNDK,Close_SNDK,Volume_SNDK,AdjClose_SNDK
2015-01-06,95.800003,97.32,94.959999,95.459999,3781400,94.207667
2015-01-07,94.720001,95.5,93.650002,94.769997,4200800,93.526716
2015-01-08,95.82,98.419998,95.019997,97.379997,2987600,96.102477
2015-01-09,97.0,97.690002,95.470001,97.040001,2286400,95.766941
2015-01-12,85.650002,86.949997,82.0,83.57,23264900,82.473651
2015-01-13,83.519997,83.900002,80.910004,81.0,10227700,79.937367
2015-01-14,79.550003,80.970001,78.230003,79.980003,8923300,78.930752
2015-01-15,80.129997,80.970001,78.419998,78.519997,6186800,77.489899
2015-01-16,78.150002,79.730003,78.099998,78.93,5796800,77.894524
2015-01-20,78.360001,79.190002,77.029999,78.800003,5536400,77.766232
2015-01-21,78.800003,80.790001,78.400002,80.440002,6795100,79.384716
2015-01-22,74.699997,79.75,74.300003,78.900002,16922200,77.864919
2015-01-23,78.779999,80.639999,78.550003,79.68,4907700,78.634685
2015-01-26,79.730003,80.82,79.099998,80.349998,3888700,79.295893
2015-01-27,79.0,80.389999,78.529999,79.0,4242800,77.963605
2015-01-28,79.900002,80.5,77.989998,78.050003,4347100,77.026071
2015-01-29,77.959999,78.099998,75.699997,77.470001,5397800,76.453678
2015-01-30,77.0,77.220001,75.779999,75.910004,5877600,74.914146
2015-02-02,76.080002,77.239998,75.230003,76.730003,5151200,75.723388
2015-02-03,76.82,78.910004,76.82,78.660004,3576300,77.628069
2015-02-04,78.300003,78.769997,77.279999,77.900002,3377600,76.878037
2015-02-05,77.900002,78.860001,77.900002,78.510002,2510600,77.480035
2015-02-06,77.980003,79.139999,77.32,77.470001,3130200,76.453678
2015-02-09,76.989998,77.900002,76.669998,76.910004,3164600,75.901027
2015-02-10,77.57,79.360001,76.959999,79.050003,3602000,78.012952
2015-02-11,79.18,81.059998,78.699997,80.379997,4237700,79.325498
2015-02-12,81.0,83.190002,80.730003,82.300003,3829000,81.220316
2015-02-13,83.620003,83.709999,82.419998,82.809998,2818100,81.72362
2015-02-17,82.730003,83.150002,81.730003,82.199997,3117500,81.121622
2015-02-18,81.980003,82.699997,81.349998,81.940002,3264000,80.865038
2015-02-19,81.769997,82.669998,81.510002,82.410004,2165700,81.328873
2015-02-20,82.410004,82.629997,81.57,82.629997,1936200,81.545981
2015-02-23,82.309998,82.760002,81.089996,81.389999,2068200,80.32225
2015-02-24,81.120003,81.419998,79.209999,79.970001,3976900,78.920881
2015-02-25,79.830002,79.980003,78.860001,79.040001,4620400,78.003081
2015-02-26,79.040001,79.5,77.660004,78.050003,4602700,77.319538
2015-02-27,79.010002,81.379997,78.5,79.93,5039600,79.18194
2015-03-02,80.449997,81.339996,79.809998,80.25,3076000,79.498945
2015-03-03,80.25,80.82,78.519997,79.089996,3539500,78.349798
2015-03-04,78.839996,83.57,78.839996,82.68,8354300,81.906203
2015-03-05,83.0,83.110001,81.989998,82.519997,4537700,81.747697
2015-03-06,82.209999,83.18,80.519997,80.660004,3423000,79.905111
2015-03-09,80.68,82.260002,80.220001,82.089996,2694100,81.321721
2015-03-10,81.769997,82.050003,79.660004,80.169998,3767000,79.419692
2015-03-11,82.620003,84.949997,82.620003,82.730003,6202500,81.955738
2015-03-12,81.699997,83.900002,81.389999,83.75,3917200,82.966189
2015-03-13,83.699997,84.360001,83.370003,83.82,2911100,83.035533
2015-03-16,84.050003,84.849998,83.32,83.760002,2748800,82.976097
2015-03-17,82.949997,83.260002,82.559998,82.940002,2267800,82.163772
2015-03-18,82.599998,83.0,81.550003,82.900002,3276400,82.124145
2015-03-19,82.779999,84.839996,82.779999,84.720001,2911500,83.927112
2015-03-20,85.360001,87.43,85.209999,87.07,5905200,86.255117
2015-03-23,87.110001,87.230003,85.459999,85.540001,2487700,84.739437
2015-03-24,85.279999,85.599998,84.330002,84.75,2147800,83.95683
2015-03-25,84.709999,84.849998,81.080002,81.18,5529900,80.420241
2015-03-26,69.5,69.5,65.449997,66.199997,32366600,65.580435
2015-03-27,65.849998,65.849998,63.560001,64.589996,14250300,63.985502
2015-03-30,65.099998,65.580002,64.0,64.980003,5200700,64.371859
2015-03-31,64.360001,64.620003,63.599998,63.619999,6785700,63.024583
2015-04-01,63.549999,65.889999,63.0,65.139999,7073400,64.530358
2015-04-02,65.160004,65.349998,64.230003,64.57,3772300,63.965693
2015-04-06,65.730003,67.779999,65.629997,67.25,8951100,66.620611
2015-04-07,67.669998,68.580002,67.389999,67.699997,5836600,67.066397
2015-04-08,67.599998,68.93,67.309998,68.889999,5223100,68.245262
2015-04-09,69.019997,71.239998,68.900002,70.410004,4912500,69.75104
2015-04-10,70.300003,71.18,69.949997,70.68,3341700,70.01851
2015-04-13,70.5,72.190002,70.290001,70.470001,3193300,69.810477
2015-04-14,70.550003,70.809998,69.620003,70.330002,3890300,69.671787
2015-04-15,70.669998,71.779999,69.639999,71.120003,5290900,70.454395
2015-04-16,65.860001,68.300003,65.300003,67.910004,23651200,67.274438
2015-04-17,67.169998,67.470001,66.160004,67.010002,6793400,66.382859
2015-04-20,67.230003,67.57,66.349998,66.860001,4811700,66.234262
2015-04-21,66.870003,68.089996,66.529999,67.919998,4557200,67.284339
2015-04-22,68.209999,69.330002,67.529999,68.480003,4366000,67.839103
2015-04-23,68.059998,69.230003,67.900002,68.760002,2690100,68.116481
2015-04-24,68.980003,69.150002,67.559998,67.919998,3107400,67.284339
2015-04-27,68.139999,68.68,67.440002,67.669998,3255800,67.036679
2015-04-28,67.669998,69.529999,67.639999,68.690002,4213000,68.047137
2015-04-29,68.110001,68.559998,66.940002,67.839996,3884500,67.205086
2015-04-30,67.300003,67.809998,66.440002,66.940002,2352000,66.608068
2015-05-01,67.480003,68.889999,67.07,68.470001,2347200,68.13048
2015-05-04,68.330002,68.849998,67.150002,67.510002,2441400,67.175241
2015-05-05,67.389999,68.139999,66.669998,66.970001,2350500,66.637918
2015-05-06,67.07,67.349998,66.209999,66.639999,1977700,66.309552
2015-05-07,66.339996,67.050003,66.239998,66.589996,1939200,66.259797
2015-05-08,67.230003,67.949997,67.089996,67.720001,2069000,67.384199
2015-05-11,67.709999,68.239998,67.290001,67.769997,2085000,67.433946
2015-05-12,67.339996,67.470001,66.419998,66.669998,2231200,66.339402
2015-05-13,66.839996,68.050003,66.760002,67.199997,2983400,66.866773
2015-05-14,67.730003,68.099998,66.830002,67.0,2255700,66.667768
2015-05-15,67.169998,67.779999,66.93,67.190002,2022500,66.856828
2015-05-18,66.900002,67.93,66.690002,67.5,2041400,67.165288
2015-05-19,67.529999,68.879997,66.639999,67.330002,5673000,66.996133
2015-05-20,67.239998,67.980003,66.940002,67.080002,2173700,66.747373
2015-05-21,67.150002,67.75,66.639999,67.019997,2023300,66.687665
2015-05-22,66.879997,67.629997,66.739998,67.080002,2143000,66.747373
2015-05-26,67.300003,67.639999,66.110001,66.389999,2392300,66.060792
2015-05-27,66.599998,69.459999,66.589996,69.010002,4654900,68.667803
2015-05-28,68.650002,71.239998,68.650002,69.580002,5869300,69.234976
2015-05-29,69.919998,70.739998,68.379997,68.379997,4494400,68.040922
2015-06-01,68.959999,69.010002,68.080002,68.230003,3125800,67.891672
2015-06-02,67.779999,67.959999,66.879997,67.07,3810100,66.73742
2015-06-03,67.400002,68.169998,67.300003,67.510002,2970700,67.175241
2015-06-04,67.07,67.5,66.849998,67.099998,1981300,66.76727
2015-06-05,66.93,69.360001,66.879997,68.669998,4132900,68.329485
2015-06-08,68.68,69.190002,67.209999,67.510002,2289700,67.175241
2015-06-09,67.510002,67.68,66.0,66.809998,2055600,66.478708
2015-06-10,66.959999,68.150002,66.800003,67.260002,2337600,66.926481
2015-06-11,67.290001,67.779999,66.540001,66.660004,1822200,66.329457
2015-06-12,66.089996,66.589996,65.699997,66.099998,1998900,65.772229
2015-06-15,64.75,64.93,63.099998,64.18,5875200,63.861752
2015-06-16,64.169998,65.040001,63.98,64.519997,2920800,64.200062
2015-06-17,64.599998,65.339996,64.160004,64.730003,2359000,64.409027
2015-06-18,64.849998,66.040001,64.360001,65.209999,3076500,64.886643
2015-06-19,65.190002,65.580002,63.580002,63.919998,5476200,63.603039
2015-06-22,64.529999,65.720001,64.32,65.480003,3297400,65.155308
2015-06-23,65.260002,65.699997,64.610001,65.089996,1850200,64.767235
2015-06-24,64.779999,64.82,63.77,63.790001,2397100,63.473686
2015-06-25,63.939999,64.230003,63.139999,63.349998,2792900,63.035866
2015-06-26,61.509998,62.66,61.459999,62.119999,6528700,61.811965
2015-06-29,61.23,61.889999,59.919998,60.189999,4551700,59.891535
2015-06-30,60.509998,60.84,57.880001,58.220001,8310200,57.931306
2015-07-01,58.540001,58.720001,56.259998,56.41,7645400,56.13028
2015-07-02,56.5,57.700001,56.349998,56.360001,4855600,56.080529
2015-07-06,55.610001,56.209999,55.049999,55.48,4756200,55.204891
2015-07-07,55.360001,56.110001,53.869999,55.889999,4549700,55.612858
2015-07-08,55.400002,55.599998,53.860001,54.150002,4112300,53.881488
2015-07-09,54.880001,55.0,53.700001,53.810001,2583900,53.543174
2015-07-10,54.400002,54.57,53.380001,53.529999,3243300,53.26456
2015-07-13,53.860001,54.09,53.18,53.650002,4208800,53.383968
2015-07-14,55.77,56.099998,55.0,55.450001,6077900,55.175041
2015-07-15,55.709999,55.720001,54.549999,54.959999,2993000,54.68747
2015-07-16,55.5,56.049999,55.16,56.02,3187700,55.742215
2015-07-17,55.93,56.060001,55.0,55.389999,2781100,55.115338
2015-07-20,56.0,56.73,54.849998,55.48,3825900,55.204891
2015-07-21,55.34,56.209999,55.32,55.48,2755300,55.204891
2015-07-22,54.959999,55.169998,53.759998,54.18,6987900,53.911339
2015-07-23,61.599998,64.760002,61.509998,63.700001,23513700,63.384132
2015-07-24,63.990002,64.0,61.110001,61.84,5545400,61.533355
2015-07-27,61.200001,61.75,59.779999,61.16,4061900,60.856726
2015-07-28,61.290001,61.669998,59.619999,61.080002,4159300,60.777125
2015-07-29,61.200001,61.950001,59.91,60.5,3207900,60.199999
2015-07-30,60.02,60.810001,59.860001,60.549999,2165100,60.549999
2015-07-31,60.57,60.990002,59.759998,60.290001,3204600,60.290001
2015-08-03,60.189999,60.32,58.849998,59.459999,2323900,59.459999
2015-08-04,59.599998,59.880001,58.509998,59.299999,3278600,59.299999
2015-08-05,59.52,60.75,59.52,59.740002,1900000,59.740002
2015-08-06,60.040001,60.040001,58.41,58.93,2830200,58.93
2015-08-07,58.759998,60.110001,58.66,59.41,1974300,59.41
2015-08-10,59.669998,61.439999,59.650002,61.029999,2892000,61.029999
2015-08-11,59.740002,60.450001,58.650002,59.099998,3003300,59.099998
2015-08-12,58.360001,59.48,57.360001,59.200001,2400800,59.200001
2015-08-13,59.220001,59.459999,57.73,57.860001,2765300,57.860001
2015-08-14,57.939999,58.220001,57.299999,57.950001,2035500,57.950001
2015-08-17,57.57,58.349998,56.939999,58.200001,2037900,58.200001
2015-08-18,56.759998,57.360001,56.139999,56.900002,5803200,56.900002
2015-08-19,56.560001,56.779999,53.389999,53.810001,9543300,53.810001
2015-08-20,53.16,53.360001,50.040001,50.130001,8187700,50.130001
2015-08-21,49.400002,51.029999,48.950001,49.049999,5462000,49.049999
2015-08-24,46.740002,47.650002,44.279999,47.650002,6707500,47.650002
2015-08-25,48.849998,49.779999,46.049999,46.110001,5657100,46.110001
2015-08-26,47.380001,49.700001,46.66,49.509998,5634400,49.509998
2015-08-27,50.139999,52.939999,50.060001,52.849998,7294900,52.849998
2015-08-28,52.200001,54.009998,51.84,52.27,3664500,52.27
2015-08-31,51.950001,55.220001,51.34,54.560001,6637200,54.560001
2015-09-01,52.700001,54.540001,52.59,52.810001,3487900,52.810001
2015-09-02,53.849998,54.080002,52.849998,54.049999,2734500,54.049999
2015-09-03,54.450001,55.720001,53.900002,54.119999,3286700,54.119999
2015-09-04,53.200001,53.970001,52.630001,52.84,2482500,52.84
2015-09-08,55.150002,55.959999,54.110001,55.849998,3759000,55.849998
2015-09-09,56.240002,56.470001,54.389999,54.52,3747800,54.52
2015-09-10,54.23,55.18,53.830002,54.610001,2727900,54.610001
2015-09-11,54.200001,54.970001,53.740002,54.959999,2409500,54.959999
2015-09-14,55.119999,55.43,54.259998,55.330002,2180100,55.330002
2015-09-15,55.700001,57.139999,55.139999,55.720001,2935400,55.720001
2015-09-16,54.48,55.990002,54.43,55.790001,2804600,55.790001
2015-09-17,55.57,56.060001,54.41,54.669998,2661800,54.669998
2015-09-18,53.82,53.990002,52.279999,52.689999,7391100,52.689999
2015-09-21,52.700001,54.18,52.599998,52.900002,3292100,52.900002
2015-09-22,51.869999,52.419998,51.549999,51.82,3366700,51.82
2015-09-23,52.080002,52.150002,50.709999,50.990002,2268600,50.990002
2015-09-24,50.66,51.330002,49.66,51.009998,2097500,51.009998
2015-09-25,51.560001,51.919998,50.259998,50.860001,2384900,50.860001
2015-09-28,50.18,50.330002,48.25,48.799999,4015800,48.799999
2015-09-29,48.849998,49.669998,48.25,49.09,3948300,49.09
2015-09-30,51.27,54.470001,51.049999,54.330002,8057600,54.330002
2015-10-01,55.48,55.970001,53.77,55.91,6224500,55.91
2015-10-02,56.09,59.779999,55.810001,59.580002,7077100,59.580002
2015-10-05,59.990002,61.310001,59.380001,59.470001,4822000,59.470001
2015-10-06,59.799999,61.630001,59.490002,61.240002,5973700,61.240002
2015-10-07,61.299999,62.540001,59.720001,61.689999,4454600,61.689999
2015-10-08,62.139999,64.440002,61.689999,64.110001,5622900,64.110001
2015-10-09,63.939999,64.349998,61.77,62.360001,3852400,62.360001
2015-10-12,62.34,62.849998,61.099998,62.849998,2264700,62.849998
2015-10-13,62.220001,62.810001,61.490002,61.77,4030600,61.77
2015-10-14,68.699997,70.5,67.330002,68.699997,15491300,68.699997
2015-10-15,68.43,70.959999,68.410004,69.879997,5531600,69.879997
2015-10-16,69.93,70.260002,68.75,69.970001,3816900,69.970001
2015-10-19,70.93,75.18,70.669998,72.0,8576900,72.0
2015-10-20,77.410004,77.889999,74.389999,75.190002,18850800,75.190002
2015-10-21,78.400002,78.5,76.540001,76.779999,30838500,76.779999
2015-10-22,76.900002,77.32,76.489998,77.089996,10060600,77.089996
2015-10-23,77.010002,78.830002,77.010002,78.370003,6533200,78.370003
2015-10-26,77.550003,78.629997,77.18,77.419998,5717800,77.419998
2015-10-27,77.160004,77.5,76.720001,76.900002,3159300,76.900002
2015-10-28,76.849998,77.839996,76.699997,77.669998,2233900,77.669998
2015-10-29,77.150002,77.849998,77.099998,77.220001,2404500,77.220001
2015-10-30,77.150002,77.610001,76.919998,77.0,3114800,77.0
2015-11-02,76.82,77.080002,76.540001,76.779999,2998100,76.779999
2015-11-03,76.410004,77.290001,76.330002,76.919998,2666100,76.919998
2015-11-04,76.809998,77.139999,76.580002,77.059998,1357700,77.059998
2015-11-05,76.93,77.230003,76.510002,76.75,2186200,76.75
2015-11-06,76.660004,77.300003,76.57,77.07,1909300,77.07
2015-11-09,76.860001,77.099998,76.599998,76.910004,1505900,76.910004
2015-11-10,76.440002,76.900002,75.5,75.699997,2797100,75.699997
2015-11-11,75.230003,75.550003,73.349998,74.610001,3894600,74.610001
2015-11-12,74.550003,75.290001,74.300003,74.419998,2234700,74.419998
2015-11-13,74.309998,74.43,73.769997,73.900002,1418000,73.900002
2015-11-16,73.599998,74.620003,73.5,74.559998,1439200,74.559998
2015-11-17,73.599998,75.150002,73.599998,74.839996,1535500,74.839996
2015-11-18,74.82,75.389999,74.730003,75.360001,1632000,75.360001
2015-11-19,75.190002,75.470001,74.879997,75.019997,1921200,75.019997
2015-11-20,75.32,75.43,74.800003,74.93,1899700,74.93
2015-11-23,74.870003,74.980003,74.169998,74.550003,1972500,74.550003
2015-11-24,74.07,74.699997,74.0,74.43,1213500,74.43
2015-11-25,74.5,74.849998,74.150002,74.489998,1156000,74.489998
2015-11-27,74.440002,74.709999,74.269997,74.580002,452000,74.580002
2015-11-30,74.480003,74.660004,73.809998,73.870003,2791000,73.870003
2015-12-01,74.110001,75.989998,73.839996,75.879997,2832500,75.879997
2015-12-02,75.32,75.849998,74.739998,75.199997,1621600,75.199997
2015-12-03,75.239998,75.989998,74.540001,74.900002,2104800,74.900002
2015-12-04,74.989998,75.830002,74.809998,75.269997,2368300,75.269997
2015-12-07,75.059998,75.269997,74.419998,75.099998,1320200,75.099998
2015-12-08,74.519997,75.410004,74.440002,75.349998,1710300,75.349998
2015-12-09,75.019997,76.010002,74.779999,75.139999,1860300,75.139999
2015-12-10,75.160004,76.339996,74.900002,76.0,1618400,76.0
2015-12-11,75.010002,75.279999,74.540001,74.809998,2593400,74.809998
2015-12-14,74.760002,75.440002,74.43,75.330002,1594000,75.330002
2015-12-15,75.739998,76.230003,75.400002,75.669998,2359100,75.669998
2015-12-16,75.800003,76.129997,75.160004,75.599998,1174500,75.599998
2015-12-17,75.639999,76.050003,74.830002,74.830002,1941800,74.830002
2015-12-18,74.709999,75.379997,73.879997,73.889999,4606200,73.889999
2015-12-21,74.730003,74.82,73.900002,74.540001,1750300,74.540001
2015-12-22,74.769997,74.830002,74.209999,74.669998,1065700,74.669998
2015-12-23,74.860001,75.389999,74.330002,75.260002,1077900,75.260002
2015-12-24,75.360001,75.480003,75.099998,75.279999,719500,75.279999
2015-12-28,75.099998,75.349998,74.620003,75.309998,869000,75.309998
2015-12-29,75.449997,76.080002,75.370003,75.970001,1084500,75.970001
2015-12-30,76.0,76.709999,75.870003,76.07,1098300,76.07
2015-12-31,76.0,76.57,75.769997,75.989998,848000,75.989998
2016-01-04,75.300003,76.150002,75.110001,75.959999,2300900,75.959999
2016-01-05,75.629997,76.510002,75.610001,76.089996,2141400,76.089996
2016-01-06,75.339996,75.940002,75.25,75.57,1671300,75.57
2016-01-07,74.699997,75.489998,74.459999,74.970001,2270200,74.970001
2016-01-08,75.529999,75.599998,74.029999,74.199997,2924800,74.199997
2016-01-11,74.599998,75.260002,73.139999,74.010002,2562000,74.010002
2016-01-12,74.599998,74.860001,73.400002,74.790001,2856000,74.790001
2016-01-13,74.699997,74.699997,71.199997,71.800003,5344500,71.800003
2016-01-14,71.900002,74.889999,71.339996,74.830002,4935500,74.830002
2016-01-15,73.480003,73.860001,71.239998,71.480003,4616100,71.480003
2016-01-19,72.199997,72.480003,70.089996,71.059998,2981100,71.059998
2016-01-20,70.32,70.540001,68.209999,68.669998,5662100,68.669998
2016-01-21,69.0,69.480003,65.580002,66.230003,6303900,66.230003
2016-01-22,67.160004,68.080002,66.139999,67.419998,2954700,67.419998
2016-01-25,66.989998,67.080002,59.360001,61.740002,9780400,61.740002
2016-01-26,61.68,65.339996,60.970001,64.089996,6291800,64.089996
2016-01-27,64.459999,66.449997,63.919998,64.209999,4410000,64.209999
2016-01-28,65.559998,67.559998,64.309998,67.25,4310400,67.25
2016-01-29,68.0,71.339996,68.0,70.699997,4690600,70.699997
2016-02-01,69.849998,72.050003,69.830002,70.650002,2565700,70.650002
2016-02-02,70.0,70.669998,69.269997,70.25,2058300,70.25
2016-02-03,70.620003,70.940002,69.260002,69.809998,2466400,69.809998
2016-02-04,69.599998,71.510002,69.480003,69.860001,2651000,69.860001
2016-02-05,69.800003,69.849998,68.379997,69.0,2303400,69.0
2016-02-08,68.419998,68.699997,66.800003,67.849998,3447900,67.849998
2016-02-09,67.019997,67.800003,66.0,66.540001,2298300,66.540001
2016-02-10,66.980003,68.300003,66.43,67.230003,1702700,67.230003
2016-02-11,66.870003,67.370003,65.949997,67.290001,2367800,67.290001
2016-02-12,67.959999,68.480003,66.669998,67.489998,1812900,67.489998
2016-02-16,67.540001,68.25,67.279999,68.169998,1866900,68.169998
2016-02-17,68.239998,68.849998,68.019997,68.459999,1740800,68.459999
2016-02-18,68.720001,69.980003,68.519997,69.459999,1413900,69.459999
2016-02-19,69.279999,69.449997,68.300003,68.849998,1386600,68.849998
2016-02-22,68.839996,69.610001,66.0,67.68,4526200,67.68
2016-02-23,66.93,67.489998,65.870003,66.610001,10153500,66.610001
2016-02-24,65.660004,70.239998,65.379997,69.900002,7151600,69.900002
2016-02-25,69.279999,71.940002,69.0,71.480003,5455500,71.480003
2016-02-26,71.639999,72.529999,71.370003,72.080002,5254200,72.080002
2016-02-29,72.339996,74.0,72.230003,72.260002,10252600,72.260002
2016-03-01,72.529999,74.160004,72.459999,74.080002,5312700,74.080002
2016-03-02,73.209999,75.169998,73.18,74.980003,6585300,74.980003
2016-03-03,74.379997,75.82,74.379997,75.720001,2565100,75.720001
2016-03-04,75.5,76.230003,75.389999,75.839996,3644900,75.839996
2016-03-07,75.510002,76.849998,75.510002,76.68,5880100,76.68
2016-03-08,76.400002,76.849998,76.0,76.0,5160500,76.0
2016-03-09,75.959999,76.660004,75.639999,76.629997,4550400,76.629997
2016-03-10,76.510002,76.75,75.940002,76.410004,3763400,76.410004
2016-03-11,76.650002,76.849998,76.349998,76.699997,4494700,76.699997
2016-03-14,75.989998,76.709999,75.989998,76.269997,4705900,76.269997
2016-03-15,76.120003,76.470001,75.669998,75.739998,12463800,75.739998
2016-03-16,75.629997,76.25,75.629997,76.220001,2918800,76.220001
2016-03-17,76.029999,76.400002,75.93,75.980003,2800300,75.980003
2016-03-18,76.199997,76.790001,75.879997,76.57,4735600,76.57
2016-03-21,76.5,76.900002,76.440002,76.800003,2976000,76.800003
2016-03-22,76.540001,77.339996,76.440002,77.120003,3178400,77.120003
2016-03-23,76.970001,77.230003,76.199997,76.410004,2473600,76.410004
2016-03-24,76.129997,76.440002,74.68,75.660004,6619600,75.660004
2016-03-28,75.699997,76.080002,75.389999,75.68,3014600,75.68
2016-03-29,75.809998,76.169998,75.370003,76.019997,2266600,76.019997
2016-03-30,76.389999,76.389999,75.370003,75.949997,3973600,75.949997
2016-03-31,76.0,76.279999,75.739998,76.080002,2026900,76.080002
2016-04-01,75.959999,76.25,75.790001,76.199997,1709400,76.199997
2016-04-04,76.330002,76.400002,76.040001,76.25,1143900,76.25
2016-04-05,76.019997,76.139999,75.209999,75.449997,2450200,75.449997
2016-04-06,75.449997,75.889999,74.989998,75.870003,1286000,75.870003
2016-04-07,75.519997,76.580002,75.5,76.32,5230200,76.32
2016-04-08,76.75,76.800003,76.150002,76.519997,2407200,76.519997
2016-04-11,76.639999,77.209999,76.610001,76.790001,1843800,76.790001
2016-04-12,76.669998,76.989998,76.360001,76.68,2069100,76.68
2016-04-13,76.769997,76.93,76.690002,76.75,2227500,76.75
2016-04-14,76.57,76.57,75.620003,75.889999,2852800,75.889999
2016-04-15,75.980003,76.040001,75.519997,75.760002,3294100,75.760002
2016-04-18,75.629997,76.160004,75.610001,76.019997,2101000,76.019997
2016-04-19,76.150002,76.239998,75.709999,75.809998,3695500,75.809998
2016-04-20,75.919998,76.330002,75.589996,75.589996,4803200,75.589996
2016-04-21,75.68,75.830002,74.790001,74.879997,5092600,74.879997
2016-04-22,74.870003,75.760002,74.860001,75.489998,3204100,75.489998
2016-04-25,75.470001,75.699997,75.150002,75.669998,2001700,75.669998
2016-04-26,75.599998,76.07,75.599998,75.790001,2291500,75.790001
2016-04-27,75.57,75.989998,75.309998,75.870003,2209800,75.870003
2016-04-28,76.110001,76.809998,75.959999,76.5,2830700,76.5
2016-04-29,76.230003,76.230003,74.690002,75.129997,2829300,75.129997
2016-05-02,75.07,75.610001,74.830002,75.5,3105800,75.5
2016-05-03,75.050003,75.449997,75.010002,75.32,2600000,75.32
2016-05-04,75.139999,75.410004,74.830002,74.970001,2433700,74.970001
2016-05-05,75.07,75.220001,74.550003,74.690002,2515300,74.690002
2016-05-06,74.519997,75.68,74.360001,75.419998,4458800,75.419998
2016-05-09,75.440002,75.550003,75.239998,75.510002,2209100,75.510002
2016-05-10,76.199997,76.650002,76.07,76.57,20168600,76.57
2016-05-11,76.529999,76.709999,76.07,76.18,8678900,76.18
2016-05-12,76.18,76.18,76.18,76.18,0,76.18
2016-05-13,76.18,76.18,76.18,76.18,0,76.18
2016-05-16,76.18,76.18,76.18,76.18,0,76.18
2016-05-17,76.18,76.18,76.18,76.18,0,76.18
2016-05-18,76.18,76.18,76.18,76.18,0,76.18
2016-05-19,76.18,76.18,76.18,76.18,0,76.18
2016-05-20,76.18,76.18,76.18,76.18,0,76.18
2016-05-23,76.18,76.18,76.18,76.18,0,76.18
2016-05-24,76.18,76.18,76.18,76.18,0,76.18
2016-05-25,76.18,76.18,76.18,76.18,0,76.18
2016-05-26,76.18,76.18,76.18,76.18,0,76.18
2016-05-27,76.18,76.18,76.18,76.18,0,76.18
2016-05-31,76.18,76.18,76.18,76.18,0,76.18
2016-06-01,76.18,76.18,76.18,76.18,0,76.18
2016-06-02,76.18,76.18,76.18,76.18,0,76.18
2016-06-03,76.18,76.18,76.18,76.18,0,76.18
2016-06-06,76.18,76.18,76.18,76.18,0,76.18
2016-06-07,76.18,76.18,76.18,76.18,0,76.18
2016-06-08,76.18,76.18,76.18,76.18,0,76.18
2016-06-09,76.18,76.18,76.18,76.18,0,76.18
2016-06-10,76.18,76.18,76.18,76.18,0,76.18
2016-06-13,76.18,76.18,76.18,76.18,0,76.18
