Date,Open_HD,High_HD,Low_HD,Close_HD,Volume_HD,AdjClose_HD
2015-01-05,102.779999,102.779999,100.790001,101.260002,5878100,98.210906
2015-01-06,102.07,102.07,100.339996,100.949997,4910100,97.910236
2015-01-07,102.290001,104.470001,102.0,104.410004,5091000,101.266056
2015-01-08,105.370003,106.989998,105.019997,106.720001,6464600,103.506496
2015-01-09,106.879997,106.879997,104.82,104.889999,5717100,101.731599
2015-01-12,105.169998,105.290001,104.059998,104.419998,4990400,101.27575
2015-01-13,105.410004,106.040001,103.150002,103.730003,5395200,100.606532
2015-01-14,102.419998,103.410004,101.879997,102.639999,5384400,99.54935
2015-01-15,102.639999,103.650002,100.82,101.010002,6888800,97.968434
2015-01-16,100.860001,104.309998,100.239998,104.120003,6403800,100.984788
2015-01-20,104.839996,104.949997,102.349998,103.25,5331300,100.140982
2015-01-21,103.050003,104.059998,102.5,103.529999,5899200,100.41255
2015-01-22,104.379997,106.309998,103.540001,106.07,5804100,102.876067
2015-01-23,106.209999,106.480003,105.309998,105.370003,4072300,102.197149
2015-01-26,105.360001,106.5,105.059998,106.360001,4189700,103.157336
2015-01-27,104.779999,105.809998,104.400002,105.160004,4606500,101.993473
2015-01-28,105.309998,107.43,104.599998,104.739998,4917300,101.586114
2015-01-29,105.139999,107.739998,104.510002,107.620003,6529300,104.379398
2015-01-30,106.360001,106.860001,104.379997,104.419998,7000000,101.27575
2015-02-02,104.779999,105.0,101.57,104.43,5012800,101.285451
2015-02-03,104.889999,107.32,104.809998,107.239998,5969200,104.010835
2015-02-04,107.089996,109.0,106.75,108.410004,6765200,105.14561
2015-02-05,108.980003,109.339996,108.150002,108.989998,4471800,105.70814
2015-02-06,109.279999,109.739998,108.459999,109.040001,4178800,105.756637
2015-02-09,108.879997,109.459999,108.040001,108.339996,4243800,105.077711
2015-02-10,108.790001,110.849998,108.660004,110.669998,5414400,107.337553
2015-02-11,110.599998,110.800003,109.809998,110.309998,4552900,106.988392
2015-02-12,110.809998,112.199997,110.209999,112.160004,4592200,108.782692
2015-02-13,112.010002,112.389999,111.300003,111.889999,5098600,108.520818
2015-02-17,111.690002,112.230003,110.620003,112.0,6028600,108.627506
2015-02-18,111.599998,112.169998,111.0,111.989998,3731600,108.617805
2015-02-19,112.010002,112.449997,110.639999,110.940002,5910600,107.599427
2015-02-20,110.809998,112.25,110.050003,112.239998,7276100,108.860277
2015-02-23,112.989998,113.160004,111.800003,112.279999,5638000,108.899074
2015-02-24,117.5,117.919998,115.129997,116.75,12775500,113.234476
2015-02-25,117.349998,117.349998,115.849998,116.309998,7328200,112.807723
2015-02-26,116.0,116.419998,115.199997,115.379997,5649900,111.905727
2015-02-27,115.190002,115.669998,114.559998,114.75,5732600,111.294699
2015-03-02,114.860001,117.059998,114.860001,116.120003,5971900,112.623449
2015-03-03,116.110001,116.120003,114.800003,116.07,3784800,112.574952
2015-03-04,115.389999,115.470001,114.25,114.760002,3799000,111.3044
2015-03-05,115.230003,116.099998,115.059998,115.910004,4088700,112.419774
2015-03-06,115.959999,115.959999,114.0,114.449997,5169200,111.00373
2015-03-09,114.379997,115.480003,114.370003,115.25,5351200,111.779644
2015-03-10,113.849998,114.339996,112.559998,112.559998,5685000,109.732394
2015-03-11,112.68,113.800003,112.410004,113.07,4356500,110.229585
2015-03-12,113.849998,116.459999,113.769997,116.099998,5742000,113.183467
2015-03-13,115.989998,116.309998,114.0,114.82,4626900,111.935623
2015-03-16,115.330002,116.610001,115.32,116.5,4820300,113.57342
2015-03-17,115.449997,116.080002,115.139999,115.580002,3715900,112.676533
2015-03-18,115.410004,116.419998,113.309998,116.080002,4773600,113.163973
2015-03-19,116.209999,116.43,115.07,115.160004,3545600,112.267086
2015-03-20,115.550003,117.989998,115.330002,117.489998,8446000,114.538549
2015-03-23,117.040001,117.75,116.07,116.07,4095200,113.154222
2015-03-24,116.199997,117.830002,116.040001,116.150002,4026900,113.232214
2015-03-25,115.959999,116.610001,113.639999,113.68,4725800,110.824262
2015-03-26,113.360001,113.43,111.580002,112.370003,5409600,109.547172
2015-03-27,112.080002,114.230003,112.0,113.860001,3879300,110.99974
2015-03-30,114.959999,116.050003,114.529999,114.629997,3968400,111.750394
2015-03-31,113.699997,115.370003,113.550003,113.610001,4128800,110.75602
2015-04-01,113.879997,114.0,112.43,113.129997,4737700,110.288075
2015-04-02,112.610001,114.919998,112.519997,114.540001,4064800,111.662658
2015-04-06,113.449997,115.550003,113.410004,114.949997,3248900,112.062355
2015-04-07,114.830002,115.790001,114.230003,114.300003,3188300,111.428689
2015-04-08,113.970001,115.809998,113.830002,115.589996,3753500,112.686277
2015-04-09,115.459999,116.25,114.139999,114.57,4674000,111.691903
2015-04-10,114.470001,115.650002,114.419998,115.239998,3658100,112.345071
2015-04-13,114.959999,115.43,114.349998,114.440002,2982000,111.565172
2015-04-14,114.199997,114.980003,113.110001,114.050003,4072500,111.18497
2015-04-15,114.580002,115.209999,113.379997,113.449997,4210800,110.600036
2015-04-16,113.339996,113.989998,113.019997,113.370003,4013000,110.522051
2015-04-17,112.910004,113.110001,111.769997,112.099998,6245200,109.283951
2015-04-20,113.0,113.690002,112.68,112.860001,4396300,110.024861
2015-04-21,113.5,113.980003,112.5,113.169998,3899500,110.327071
2015-04-22,113.199997,113.309998,112.190002,112.989998,4065500,110.151593
2015-04-23,112.739998,114.510002,112.559998,113.959999,3945300,111.097227
2015-04-24,113.879997,114.040001,112.900002,113.699997,2878300,110.843756
2015-04-27,114.050003,114.110001,111.279999,111.389999,5618000,108.591787
2015-04-28,110.900002,111.769997,110.050003,110.580002,5743300,107.802138
2015-04-29,110.169998,110.309998,108.07,108.709999,7238900,105.979111
2015-04-30,108.559998,109.209999,106.620003,106.980003,9041600,104.292574
2015-05-01,106.980003,109.790001,106.849998,109.550003,6696900,106.798013
2015-05-04,109.940002,110.449997,109.32,110.059998,3366800,107.295196
2015-05-05,109.199997,109.879997,107.980003,108.059998,4164800,105.345438
2015-05-06,108.199997,108.910004,107.239998,108.309998,3996600,105.589158
2015-05-07,108.400002,110.720001,108.25,110.040001,5400200,107.275702
2015-05-08,112.400002,113.480003,112.110001,112.470001,6435300,109.644659
2015-05-11,112.239998,112.910004,111.809998,111.900002,3725200,109.088978
2015-05-12,111.120003,112.82,110.830002,112.519997,4053800,109.693398
2015-05-13,112.919998,112.949997,111.099998,111.190002,4340700,108.396815
2015-05-14,112.050003,112.220001,110.830002,111.940002,3815700,109.127974
2015-05-15,111.919998,113.400002,111.82,113.349998,4575800,110.50255
2015-05-18,113.870003,114.599998,113.160004,114.330002,6878200,111.457935
2015-05-19,116.120003,116.480003,112.339996,112.339996,11133200,109.51792
2015-05-20,112.190002,112.889999,111.220001,112.099998,7004500,109.283951
2015-05-21,111.980003,112.330002,111.620003,112.010002,4238600,109.196215
2015-05-22,111.870003,112.529999,111.459999,112.160004,3694000,109.342449
2015-05-26,112.0,112.18,110.690002,110.93,4612600,108.143344
2015-05-27,111.040001,112.529999,110.809998,112.160004,4147800,109.342449
2015-05-28,111.910004,112.699997,111.860001,112.190002,2806100,109.371694
2015-05-29,111.839996,112.589996,111.370003,111.419998,5310600,108.621033
2015-06-01,111.970001,112.339996,111.25,111.669998,5114500,108.864752
2015-06-02,110.75,112.18,110.639999,111.589996,6088200,109.364577
2015-06-03,111.720001,113.480003,111.449997,113.160004,6337500,110.903274
2015-06-04,112.519997,113.160004,111.169998,111.459999,4328600,109.237172
2015-06-05,111.339996,111.360001,110.269997,110.370003,4505400,108.168914
2015-06-08,110.139999,110.809998,109.830002,109.93,3449000,107.737686
2015-06-09,109.790001,110.25,109.029999,109.529999,3659000,107.345662
2015-06-10,109.900002,111.190002,109.389999,110.980003,3967900,108.766749
2015-06-11,111.0,112.330002,111.0,111.290001,3642800,109.070564
2015-06-12,110.889999,111.589996,110.419998,110.599998,4301900,108.394323
2015-06-15,110.230003,110.459999,109.550003,110.010002,3965200,107.816092
2015-06-16,109.900002,110.449997,109.75,110.230003,3466600,108.031706
2015-06-17,110.730003,111.290001,109.959999,110.470001,5722200,108.266918
2015-06-18,111.059998,112.300003,110.760002,111.849998,7222600,109.619394
2015-06-19,111.639999,113.300003,111.440002,112.43,9255100,110.187829
2015-06-22,112.93,113.620003,112.779999,113.07,3190200,110.815065
2015-06-23,113.239998,113.589996,112.93,113.18,3075900,110.922872
2015-06-24,112.940002,113.68,112.349998,112.349998,3716100,110.109423
2015-06-25,113.239998,113.709999,112.239998,112.239998,4466300,110.001616
2015-06-26,112.769997,113.339996,112.230003,112.599998,4208500,110.354437
2015-06-29,111.559998,112.32,110.459999,110.540001,5187400,108.335522
2015-06-30,111.150002,111.760002,110.589996,111.129997,5938800,108.913752
2015-07-01,112.449997,112.809998,111.470001,112.07,4216200,109.835008
2015-07-02,112.580002,112.75,111.099998,111.489998,3845000,109.266573
2015-07-06,110.269997,111.93,110.169998,111.32,3864700,109.099965
2015-07-07,111.720001,112.639999,110.699997,112.400002,5515900,110.158429
2015-07-08,111.720001,112.459999,110.800003,111.0,3794100,108.786347
2015-07-09,112.32,112.589996,111.199997,111.379997,3643700,109.158766
2015-07-10,112.669998,113.480003,112.089996,113.099998,4631400,110.844466
2015-07-13,114.209999,115.019997,114.07,114.900002,4171900,112.608571
2015-07-14,114.5,115.529999,114.389999,115.360001,3688900,113.059397
2015-07-15,115.419998,116.150002,115.07,115.580002,3364600,113.275011
2015-07-16,115.870003,115.910004,113.830002,114.730003,5234800,112.441964
2015-07-17,114.489998,115.0,114.0,114.470001,5497600,112.187147
2015-07-20,112.25,114.110001,112.169998,113.410004,6107500,111.148288
2015-07-21,113.410004,113.970001,112.68,113.860001,4660600,111.589311
2015-07-22,113.959999,115.080002,113.800003,114.900002,5485200,112.608571
2015-07-23,115.209999,116.110001,114.43,114.589996,4308900,112.304749
2015-07-24,114.739998,115.230003,113.43,113.589996,4427800,111.324691
2015-07-27,113.370003,113.889999,112.709999,113.07,4468200,110.815065
2015-07-28,113.760002,115.029999,113.18,114.839996,4176800,112.549763
2015-07-29,115.160004,116.760002,115.110001,116.370003,5104000,114.049257
2015-07-30,115.940002,116.739998,115.349998,116.459999,3291100,114.137458
2015-07-31,116.980003,118.129997,116.370003,117.029999,4301200,114.696091
2015-08-03,117.620003,117.699997,116.160004,116.889999,3645000,114.558883
2015-08-04,116.629997,117.82,116.25,117.529999,3008200,115.186119
2015-08-05,118.379997,118.529999,117.099998,118.0,4299100,115.646747
2015-08-06,118.389999,118.5,116.07,116.559998,4768900,114.235462
2015-08-07,116.699997,117.160004,115.779999,116.93,3986100,114.598086
2015-08-10,117.529999,118.339996,117.360001,117.599998,3408900,115.254723
2015-08-11,117.019997,118.139999,116.760002,117.690002,4080000,115.342932
2015-08-12,117.129997,117.879997,115.699997,117.690002,4575800,115.342932
2015-08-13,118.0,120.139999,117.790001,119.019997,6255500,116.646402
2015-08-14,119.300003,119.889999,118.459999,119.75,5135500,117.361847
2015-08-17,119.099998,120.75,118.730003,119.699997,7255600,117.312841
2015-08-18,121.830002,123.800003,121.150002,122.800003,11021900,120.351025
2015-08-19,122.669998,123.790001,122.129997,122.760002,6490300,120.311822
2015-08-20,121.980003,122.529999,120.540001,120.540001,5555500,118.136093
2015-08-21,119.540001,120.360001,116.150002,116.160004,10190700,113.843446
2015-08-24,110.050003,115.879997,92.169998,112.540001,13983100,110.295636
2015-08-25,117.0,117.0,110.889999,110.970001,10221100,108.756946
2015-08-26,114.059998,116.029999,112.080002,115.93,9313200,113.618029
2015-08-27,117.5,118.089996,115.330002,117.660004,7579100,115.313531
2015-08-28,117.43,118.459999,116.919998,117.519997,5016000,115.176316
2015-08-31,117.010002,117.489998,115.93,116.459999,5444500,114.137458
2015-09-01,113.989998,114.75,112.559998,113.07,7392900,111.379323
2015-09-02,114.830002,116.480003,114.32,116.480003,6487400,114.738338
2015-09-03,117.029999,118.080002,116.18,116.599998,5302900,114.856539
2015-09-04,114.68,115.690002,113.489998,114.419998,5752000,112.709135
2015-09-08,115.690002,116.639999,114.730003,116.43,5775800,114.689083
2015-09-09,117.110001,117.470001,113.699997,113.970001,5316400,112.265867
2015-09-10,114.0,115.410004,113.690002,114.489998,5259100,112.778088
2015-09-11,113.970001,115.459999,113.699997,115.440002,4472800,113.713888
2015-09-14,115.5,115.68,114.419998,114.730003,4248700,113.014505
2015-09-15,114.779999,116.629997,113.900002,116.18,4994000,114.442821
2015-09-16,116.080002,118.029999,115.970001,117.82,5285100,116.058298
2015-09-17,118.330002,119.82,117.269997,117.910004,6607100,116.146957
2015-09-18,116.510002,117.199997,114.980003,115.120003,11366700,113.398673
2015-09-21,115.959999,117.110001,115.269997,116.580002,5201100,114.836842
2015-09-22,115.400002,116.389999,114.889999,115.800003,4631600,114.068506
2015-09-23,115.849998,116.550003,115.660004,116.169998,4084900,114.432969
2015-09-24,115.339996,116.650002,114.839996,116.339996,5172300,114.600425
2015-09-25,117.230003,118.169998,116.040001,116.739998,5478900,114.994445
2015-09-28,116.529999,117.379997,113.849998,114.099998,5994600,112.39392
2015-09-29,114.209999,114.93,111.800003,112.910004,7908800,111.221719
2015-09-30,114.370003,115.629997,114.0,115.489998,5395600,113.763136
2015-10-01,116.230003,117.129997,114.739998,117.029999,5215200,115.28011
2015-10-02,115.559998,117.900002,114.709999,117.809998,4359800,116.048446
2015-10-05,118.75,119.290001,117.910004,119.199997,4528700,117.417661
2015-10-06,119.099998,119.199997,117.970001,118.68,5275400,116.90544
2015-10-07,119.199997,119.839996,118.489998,119.650002,4680100,117.860937
2015-10-08,119.309998,121.230003,119.150002,121.059998,4958200,119.24985
2015-10-09,121.269997,121.5,120.470001,121.330002,3893500,119.515817
2015-10-12,121.489998,122.449997,121.0,121.900002,2861900,120.077294
2015-10-13,121.769997,122.290001,121.139999,121.610001,2971400,119.791629
2015-10-14,121.330002,121.879997,119.559998,120.269997,5200400,118.471662
2015-10-15,120.620003,122.029999,120.400002,121.809998,3448900,119.988636
2015-10-16,121.629997,122.82,121.629997,122.739998,4052900,120.90473
2015-10-19,122.610001,123.199997,122.199997,123.099998,3097700,121.259348
2015-10-20,122.889999,123.169998,122.349998,122.849998,3318400,121.013086
2015-10-21,123.290001,124.019997,122.75,123.300003,3491800,121.456362
2015-10-22,123.900002,124.480003,122.879997,124.360001,5855300,122.50051
2015-10-23,125.010002,125.75,122.970001,124.610001,5281600,122.746772
2015-10-26,124.550003,125.660004,124.019997,125.010002,4550200,123.140792
2015-10-27,124.510002,125.089996,123.82,124.470001,3674800,122.608866
2015-10-28,124.379997,124.589996,122.220001,123.82,6821500,121.968584
2015-10-29,123.419998,124.07,122.75,123.629997,4635300,121.781422
2015-10-30,123.269997,124.75,123.269997,123.639999,4991500,121.791275
2015-11-02,124.239998,124.639999,123.379997,124.410004,3715600,122.549765
2015-11-03,124.230003,126.040001,123.809998,125.660004,4313700,123.781075
2015-11-04,125.480003,125.870003,124.620003,125.379997,4101200,123.505255
2015-11-05,125.459999,126.010002,124.949997,125.720001,3059400,123.840175
2015-11-06,125.269997,126.110001,124.82,125.980003,3752000,124.09629
2015-11-09,125.800003,126.120003,123.709999,124.5,4988800,122.638416
2015-11-10,124.489998,125.410004,124.040001,125.260002,3872900,123.387054
2015-11-11,125.43,125.43,124.519997,124.709999,3240200,122.845275
2015-11-12,124.18,124.970001,123.059998,123.809998,4285700,121.958731
2015-11-13,123.099998,123.25,119.900002,120.0,8728800,118.205702
2015-11-16,120.050003,121.029999,118.610001,120.839996,7785700,119.033139
2015-11-17,124.860001,126.339996,123.099998,126.18,10517100,124.293296
2015-11-18,126.440002,126.730003,124.660004,126.540001,6502000,124.647914
2015-11-19,126.529999,127.620003,125.949997,126.860001,4662200,124.963129
2015-11-20,127.360001,130.210007,127.089996,130.210007,8191900,128.263044
2015-11-23,130.210007,132.639999,130.210007,132.5,6329700,130.518796
2015-11-24,131.929993,133.929993,131.740005,133.600006,6672700,131.602355
2015-11-25,133.690002,135.240005,133.550003,134.649994,5300900,132.636642
2015-11-27,134.809998,135.470001,134.529999,134.740005,3337700,132.725308
2015-11-30,135.199997,135.320007,133.009995,133.880005,8057900,131.878167
2015-12-01,133.520004,134.630005,133.259995,134.429993,5267600,133.00608
2015-12-02,134.559998,134.649994,133.570007,133.809998,5022700,132.392652
2015-12-03,133.520004,134.119995,130.800003,130.929993,6688000,129.543153
2015-12-04,131.550003,134.830002,131.350006,134.529999,5387100,133.105027
2015-12-07,134.0,134.789993,133.190002,133.929993,5444300,132.511376
2015-12-08,132.710007,134.559998,132.410004,133.839996,4731400,132.422333
2015-12-09,133.210007,134.779999,131.509995,131.899994,5055600,130.50288
2015-12-10,131.960007,133.589996,131.800003,132.539993,4185600,131.1361
2015-12-11,132.539993,132.539993,130.309998,130.440002,5300800,129.058353
2015-12-14,131.089996,132.130005,130.710007,132.009995,5960100,130.611715
2015-12-15,132.619995,133.490005,131.190002,131.289993,4911600,129.899341
2015-12-16,132.169998,133.279999,130.360001,132.899994,4711700,131.492288
2015-12-17,133.059998,133.539993,131.0,131.350006,4345800,129.958718
2015-12-18,130.729996,131.309998,130.009995,130.289993,9840600,128.909933
2015-12-21,131.0,131.610001,130.179993,131.309998,3414800,129.919133
2015-12-22,131.369995,132.279999,130.460007,131.880005,3401900,130.483103
2015-12-23,132.490005,133.339996,131.880005,133.110001,3244800,131.70007
2015-12-24,132.800003,133.479996,132.660004,132.899994,1517100,131.492288
2015-12-28,132.25,132.899994,131.889999,132.679993,2607200,131.274617
2015-12-29,133.369995,134.330002,133.279999,133.699997,3037400,132.283817
2015-12-30,133.580002,134.059998,133.279999,133.350006,2484700,131.937533
2015-12-31,133.080002,133.570007,132.240005,132.25,3178700,130.849179
2016-01-04,130.110001,131.070007,129.449997,131.070007,8050900,129.681685
2016-01-05,131.149994,131.940002,130.050003,130.429993,5320900,129.048449
2016-01-06,129.0,129.899994,128.559998,129.080002,8199600,127.712758
2016-01-07,126.93,127.879997,124.699997,125.400002,12551000,124.071737
2016-01-08,126.440002,126.529999,123.5,123.900002,7104500,122.587625
2016-01-11,124.870003,126.080002,124.089996,125.779999,6811600,124.447709
2016-01-12,126.779999,128.800003,125.830002,127.489998,5695700,126.139595
2016-01-13,127.470001,127.470001,120.970001,121.400002,8932200,120.114106
2016-01-14,121.290001,121.519997,118.199997,119.620003,13389100,118.352961
2016-01-15,117.120003,121.150002,116.099998,119.230003,10515000,117.967093
2016-01-19,120.540001,121.889999,118.800003,119.760002,6350700,118.491478
2016-01-20,117.889999,118.660004,113.589996,116.459999,11331400,115.226429
2016-01-21,117.379997,121.940002,117.139999,120.220001,8993900,118.946604
2016-01-22,121.639999,124.669998,121.580002,122.760002,6554500,121.459701
2016-01-25,123.379997,123.849998,121.559998,121.709999,4854700,120.42082
2016-01-26,121.730003,122.449997,120.639999,122.199997,4475600,120.905627
2016-01-27,122.459999,124.32,120.860001,121.57,5431000,120.282303
2016-01-28,121.970001,122.690002,120.309998,122.279999,4871600,120.984782
2016-01-29,123.169998,125.760002,122.75,125.760002,7616200,124.427924
2016-02-01,124.919998,127.089996,123.989998,126.510002,4674100,125.16998
2016-02-02,125.410004,126.43,124.709999,125.269997,5832200,123.943109
2016-02-03,126.019997,126.160004,121.540001,123.790001,7485700,122.47879
2016-02-04,123.650002,123.900002,119.449997,121.110001,9171800,119.827177
2016-02-05,120.889999,121.0,115.690002,116.43,8117700,115.196748
2016-02-08,114.93,115.970001,109.620003,111.849998,11286600,110.665258
2016-02-09,110.940002,115.290001,110.68,113.860001,7572900,112.65397
2016-02-10,114.5,116.160004,114.050003,114.330002,5307600,113.118993
2016-02-11,113.080002,114.190002,112.220001,113.269997,6447100,112.070216
2016-02-12,114.879997,116.43,113.519997,116.32,5361600,115.087912
2016-02-16,118.120003,120.0,117.699997,119.43,6966400,118.164971
2016-02-17,120.449997,121.68,119.870003,121.209999,5970700,119.926116
2016-02-18,120.93,121.110001,119.559998,119.970001,4460700,118.699252
2016-02-19,119.82,121.699997,118.75,121.690002,5435500,120.401035
2016-02-22,123.0,124.470001,122.129997,122.849998,7796900,121.548744
2016-02-23,127.0,127.190002,123.349998,124.529999,11168700,123.210949
2016-02-24,124.050003,125.779999,122.919998,125.610001,7935500,124.279512
2016-02-25,125.760002,126.860001,124.889999,126.860001,4738800,125.516271
2016-02-26,127.589996,127.75,125.93,126.260002,4608200,124.922628
2016-02-29,126.260002,126.989998,124.050003,124.120003,5575300,122.805296
2016-03-01,124.779999,125.970001,123.980003,125.699997,4916900,124.368555
2016-03-02,125.480003,125.870003,124.459999,125.589996,3967500,124.259719
2016-03-03,125.199997,127.260002,124.779999,126.800003,5009700,125.456909
2016-03-04,127.370003,127.5,125.160004,125.559998,6448200,124.230038
2016-03-07,125.010002,126.540001,125.010002,126.169998,4161200,124.833578
2016-03-08,125.220001,128.199997,125.0,126.720001,5280900,126.067194
2016-03-09,127.029999,127.519997,125.330002,126.029999,4047000,125.380746
2016-03-10,126.199997,127.0,124.309998,125.889999,4503700,125.241468
2016-03-11,126.970001,128.759995,126.730003,128.460007,4626600,127.798236
2016-03-14,128.429993,129.660004,128.100006,128.839996,3653200,128.176268
2016-03-15,128.779999,130.479996,128.619995,129.710007,4033900,129.041797
2016-03-16,129.630005,131.110001,128.809998,130.449997,3609600,129.777975
2016-03-17,130.100006,131.190002,129.320007,130.880005,4130900,130.205767
2016-03-18,131.139999,132.089996,130.830002,131.350006,8069200,130.673347
2016-03-21,131.529999,132.130005,130.270004,131.009995,3817000,130.335087
2016-03-22,130.610001,131.220001,129.919998,130.589996,3946500,129.917253
2016-03-23,130.589996,131.179993,129.949997,130.220001,3625300,129.549164
2016-03-24,129.539993,130.759995,129.460007,130.460007,3448700,129.787933
2016-03-28,130.600006,131.809998,130.490005,131.080002,2621100,130.404734
2016-03-29,131.0,132.899994,130.710007,132.470001,3405400,131.787573
2016-03-30,133.110001,133.929993,132.839996,133.419998,3138300,132.732676
2016-03-31,133.559998,134.289993,133.0,133.429993,3685900,132.742619
2016-04-01,133.100006,135.199997,133.100006,134.850006,4259400,134.155317
2016-04-04,136.070007,136.229996,134.350006,134.850006,3547600,134.155317
2016-04-05,134.199997,135.699997,133.899994,134.580002,4068600,133.886704
2016-04-06,134.25,135.740005,133.820007,135.440002,3364800,134.742274
2016-04-07,134.729996,135.240005,133.119995,133.869995,3953700,133.180354
2016-04-08,134.619995,134.619995,133.059998,133.619995,2924400,132.931642
2016-04-11,133.580002,135.080002,132.960007,133.009995,3472700,132.324784
2016-04-12,133.300003,134.720001,133.110001,134.380005,4251400,133.687737
2016-04-13,134.860001,134.860001,133.220001,133.839996,4324800,133.15051
2016-04-14,133.5,134.710007,132.880005,134.369995,4183300,133.677779
2016-04-15,134.410004,135.279999,133.970001,135.009995,3508900,134.314481
2016-04-18,134.809998,136.800003,134.740005,136.800003,3964300,136.095268
2016-04-19,136.800003,137.0,134.850006,135.440002,4649500,134.742274
2016-04-20,135.75,136.080002,134.479996,135.190002,4760200,134.493562
2016-04-21,135.229996,135.490005,134.389999,134.600006,3542200,133.906605
2016-04-22,134.850006,135.679993,133.410004,135.660004,4180900,134.961142
2016-04-25,135.179993,135.729996,134.279999,135.649994,2835400,134.951183
2016-04-26,135.089996,136.240005,134.880005,135.339996,3507200,134.642783
2016-04-27,135.369995,136.279999,134.759995,135.75,3488100,135.050674
2016-04-28,134.809998,135.440002,132.490005,132.729996,5553600,132.046228
2016-04-29,132.710007,134.300003,131.75,133.889999,4610100,133.200256
2016-05-02,134.369995,136.25,134.309998,136.050003,4284400,135.349132
2016-05-03,135.449997,135.839996,134.039993,134.539993,3408700,133.846901
2016-05-04,133.589996,135.399994,133.130005,135.160004,3192100,134.463717
2016-05-05,134.869995,135.369995,133.75,134.669998,3474900,133.976236
2016-05-06,134.479996,135.809998,134.309998,135.699997,3356800,135.000929
2016-05-09,135.589996,136.470001,135.240005,136.240005,3552300,135.538156
2016-05-10,136.320007,137.820007,136.300003,137.509995,3662800,136.801602
2016-05-11,136.800003,137.050003,134.039993,134.300003,6058400,133.608147
2016-05-12,135.0,135.0,133.100006,134.190002,5355600,133.498713
2016-05-13,133.809998,135.330002,133.029999,133.130005,5295800,132.444176
2016-05-16,133.839996,136.550003,133.080002,135.339996,8394800,134.642783
2016-05-17,133.149994,134.490005,131.100006,132.0,15989600,131.319993
2016-05-18,131.029999,132.770004,130.020004,131.770004,8258900,131.091182
2016-05-19,131.449997,132.130005,130.779999,131.729996,4577200,131.051379
2016-05-20,131.889999,133.059998,131.75,131.850006,5089800,131.170772
2016-05-23,131.839996,132.479996,131.300003,131.419998,3854500,130.742979
2016-05-24,132.179993,133.869995,132.050003,133.360001,5181500,132.672987
2016-05-25,133.460007,134.520004,133.050003,133.199997,5017500,132.513808
2016-05-26,133.130005,134.360001,132.860001,134.050003,3996800,133.359435
2016-05-27,134.070007,134.899994,133.380005,133.940002,4025300,133.250001
2016-05-31,133.570007,133.800003,131.720001,132.119995,6366900,132.119995
2016-06-01,132.119995,132.119995,131.149994,131.830002,4744300,131.830002
2016-06-02,131.850006,132.699997,131.330002,132.410004,3858500,132.410004
2016-06-03,132.529999,132.729996,130.919998,131.740005,4155900,131.740005
2016-06-06,130.820007,130.869995,128.470001,129.190002,8051700,129.190002
2016-06-07,129.380005,130.800003,129.320007,129.919998,4434000,129.919998
2016-06-08,130.009995,130.289993,129.25,129.589996,3742400,129.589996
2016-06-09,129.270004,129.839996,129.039993,129.300003,3450500,129.300003
2016-06-10,128.449997,129.229996,128.210007,128.830002,3926000,128.830002
2016-06-13,128.940002,129.449997,127.790001,127.830002,4811300,127.830002
